Annual maximum land-mean temperatures (TXx) for
- ERA5
- Berkeley
- HadEX3

- units: °C
- land mean, no gap filling
- anomalies with respect to 1961-1990
- to obtain values relative to 1850-1900 please add offset
- offset: 0.53°C

NOTE: using this data requires attributing the climate
      indicator project and the data providers. See
      https://github.com/ClimateIndicator/cip_extremes#data

year,ERA5,Berkeley,HadEX3
1950,-0.89,-,-
1951,-0.47,-,-
1952,-0.18,-,-
1953,-0.13,-,-
1954,-0.37,-,-
1955,-0.19,-0.09,-
1956,-0.50,-0.29,-
1957,-0.17,-0.10,-
1958,-0.10,-0.10,-
1959,-0.17,-0.12,-
1960,-0.17,-0.18,-
1961,0.08,0.06,0.16
1962,-0.30,-0.17,-0.10
1963,-0.04,-0.01,0.03
1964,-0.19,-0.16,-0.09
1965,-0.46,-0.32,-0.29
1966,-0.21,-0.08,0.02
1967,-0.24,-0.28,-0.18
1968,-0.16,-0.08,0.05
1969,0.25,0.22,0.29
1970,0.09,-0.02,0.03
1971,-0.15,-0.21,-0.16
1972,-0.05,-0.24,-0.07
1973,0.20,0.26,0.14
1974,-0.40,-0.31,-0.34
1975,0.01,0.17,0.25
1976,-0.41,-0.26,-0.27
1977,-0.07,-0.02,-0.04
1978,-0.20,-0.20,-0.29
1979,0.09,0.14,-0.09
1980,0.16,0.08,-0.03
1981,0.17,0.18,0.02
1982,-0.16,-0.17,-0.15
1983,0.47,0.49,0.41
1984,-0.01,-0.03,-0.10
1985,-0.18,-0.34,-0.20
1986,-0.07,-0.09,-0.16
1987,0.28,0.22,0.05
1988,0.74,0.57,0.51
1989,0.33,0.19,0.24
1990,0.45,0.39,0.36
1991,0.54,0.46,0.53
1992,-0.04,0.02,-0.30
1993,-0.23,-0.26,-0.21
1994,0.44,0.39,0.52
1995,0.53,0.48,0.55
1996,0.11,0.09,0.15
1997,0.21,0.23,0.20
1998,0.99,0.97,0.97
1999,0.50,0.48,0.66
2000,0.42,0.44,0.54
2001,0.63,0.72,0.77
2002,0.85,0.80,0.90
2003,0.76,0.71,0.81
2004,0.44,0.44,0.46
2005,0.92,0.85,0.85
2006,0.85,0.79,0.85
2007,0.94,0.92,0.93
2008,0.58,0.46,0.59
2009,0.56,0.61,0.50
2010,1.33,1.18,1.29
2011,0.82,0.74,0.70
2012,1.02,0.93,1.02
2013,0.94,0.84,0.84
2014,0.93,0.82,1.00
2015,1.10,1.06,1.20
2016,1.18,1.00,1.02
2017,1.15,1.01,1.21
2018,1.19,0.91,1.29
2019,1.40,1.18,-
2020,1.43,1.14,-
2021,1.46,1.26,-
2022,1.31,-,-
